method,model,seed_count,total_params,trainable_params_mean,trainable_params_std,trainable_ratio_mean,trainable_ratio_std,feature_prep_time_sec_mean,feature_prep_time_sec_std,train_wall_time_sec_mean,train_wall_time_sec_std,total_method_time_sec_mean,total_method_time_sec_std,mean_epoch_time_sec_mean,mean_epoch_time_sec_std,mean_train_step_time_ms_mean,mean_train_step_time_ms_std,peak_device_memory_mb_mean,peak_device_memory_mb_std
MERT full fine-tuning,mert_v1_95m,3,94376326,94376326.0,0.0,1.0,0.0,0.0,0.0,1359.0193333333334,543.327463379437,1359.0193333333334,543.327463379437,150.96766666666667,2.0554282603227296,330.99466666666666,3.5349470057319476,,
MERT linear probe,mert_v1_95m,3,94376326,4614.0,0.0,4.888937931319768e-05,0.0,154.56566666666666,9.552008916104167,4.553,2.162532774318114,159.11866666666666,11.354308448044437,0.13933333333333334,0.0368284310463171,0.6186666666666666,0.10164808573373789,,
MERT+LoRA (r=4),mert_v1_95m,3,94523782,152070.0,0.0,0.0016088014760137295,0.0,0.0,0.0,1278.482,300.73915100797905,1278.482,300.73915100797905,119.88799999999999,1.369611988849403,159.06333333333333,1.6830119825281453,,
MERT+LoRA (r=8),mert_v1_95m,3,94671238,299526.0,0.0,0.003163854263741645,5.311484201212962e-19,0.0,0.0,1612.5739999999998,717.5509201213528,1612.5739999999998,717.5509201213528,120.706,1.373516290402123,161.68033333333335,1.7345415340467716,,
