source_phase,method,model,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
1,MERT linear probe,mert_v1_95m,external_test,2,中阮,0.0269374012231154,0.011664237113275,0.2722222222222222,0.1182433147432931,0.0141843971631205,0.0061420241403151
1,MERT linear probe,mert_v1_95m,external_test,3,笛子,0.5349322352974053,0.0795587058209741,0.5952055078594832,0.1341204932703998,0.5602836879432624,0.2807247728087202
1,MERT linear probe,mert_v1_95m,external_test,4,唢呐,0.3515947000500484,0.0460907871574157,0.2244032787533617,0.0414558863006026,0.837037037037037,0.0678900102956421
1,MERT linear probe,mert_v1_95m,external_test,5,笙,0.5167953193853991,0.0151838561145888,0.6219992685197501,0.0921578311096116,0.4469273743016759,0.0256009815360661
1,MERT linear probe,mert_v1_95m,test,0,二胡,0.9945355191256832,0.0094647585113053,0.989247311827957,0.0186242022319233,1.0,0.0
1,MERT linear probe,mert_v1_95m,test,1,琵琶,1.0,0.0,1.0,0.0,1.0,0.0
1,MERT linear probe,mert_v1_95m,test,2,中阮,0.992648527707859,0.0065016515825938,0.9935897435897436,0.0111028897921081,0.991869918699187,0.0140817138826738
1,MERT linear probe,mert_v1_95m,test,3,笛子,0.9340780166276238,0.0750365365153182,0.9713064713064714,0.0252676460153539,0.9055864770150484,0.1297955042733211
1,MERT linear probe,mert_v1_95m,test,4,唢呐,0.9554815636946602,0.0473928314036279,0.9509090909090908,0.0684419280898862,0.961161387631976,0.03363998028611
1,MERT linear probe,mert_v1_95m,test,5,笙,0.9280291069271932,0.0562017892184961,0.8948024948024949,0.0921162748117844,0.96668985622474,0.0114826310087651
