experiment_id,run_id,method,model,ratio_name,ratio_value,seed_name,device_type,total_params,trainable_params,trainable_ratio,feature_prep_time_sec,train_wall_time_sec,total_method_time_sec,mean_epoch_time_sec,mean_train_step_time_ms,peak_device_memory_mb,memory_metric_available,subset_train_group_count,subset_train_segment_count
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed2,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed2,mps,94523782,152070,0.0016088014760137295,0.0,1283.27,1283.27,116.637,152.833,,False,195,1029
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train10_seed0,MERT+LoRA (r=8),mert_v1_95m,train10,0.1,seed0,mps,94671238,299526,0.0031638542637416446,0.0,1374.951,1374.951,54.976,152.337,,False,23,97
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train10_seed1,MERT+LoRA (r=8),mert_v1_95m,train10,0.1,seed1,mps,94671238,299526,0.0031638542637416446,0.0,1494.579,1494.579,55.334,153.523,,False,23,114
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train10_seed2,MERT+LoRA (r=8),mert_v1_95m,train10,0.1,seed2,mps,94671238,299526,0.0031638542637416446,0.0,881.204,881.204,58.722,155.634,,False,23,151
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train25_seed0,MERT+LoRA (r=8),mert_v1_95m,train25,0.25,seed0,mps,94671238,299526,0.0031638542637416446,0.0,811.55,811.55,67.609,155.198,,False,50,231
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train25_seed1,MERT+LoRA (r=8),mert_v1_95m,train25,0.25,seed1,mps,94671238,299526,0.0031638542637416446,0.0,1730.397,1730.397,72.076,154.446,,False,50,314
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train25_seed2,MERT+LoRA (r=8),mert_v1_95m,train25,0.25,seed2,mps,94671238,299526,0.0031638542637416446,0.0,773.24,773.24,70.27,155.229,,False,51,271
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train50_seed0,MERT+LoRA (r=8),mert_v1_95m,train50,0.5,seed0,mps,94671238,299526,0.0031638542637416446,0.0,1225.945,1225.945,87.549,154.596,,False,97,553
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train50_seed1,MERT+LoRA (r=8),mert_v1_95m,train50,0.5,seed1,mps,94671238,299526,0.0031638542637416446,0.0,1482.785,1482.785,82.355,154.497,,False,98,482
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train50_seed2,MERT+LoRA (r=8),mert_v1_95m,train50,0.5,seed2,mps,94671238,299526,0.0031638542637416446,0.0,922.05,922.05,83.802,154.762,,False,99,490
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train100_seed0,MERT+LoRA (r=8),mert_v1_95m,train100,1.0,seed0,mps,94671238,299526,0.0031638542637416446,0.0,1323.196,1323.196,120.265,157.794,,False,192,1067
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train100_seed1,MERT+LoRA (r=8),mert_v1_95m,train100,1.0,seed1,mps,94671238,299526,0.0031638542637416446,0.0,2368.342,2368.342,118.398,154.574,,False,192,1065
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train100_seed2,MERT+LoRA (r=8),mert_v1_95m,train100,1.0,seed2,mps,94671238,299526,0.0031638542637416446,0.0,1054.219,1054.219,117.112,154.555,,False,195,1029
exp03_mert_full_ft,run_exp03_mert_full_ft_train10_seed0,MERT full fine-tuning,mert_v1_95m,train10,0.1,seed0,mps,94376326,94376326,1.0,0.0,809.982,809.982,57.625,318.506,,False,23,97
exp03_mert_full_ft,run_exp03_mert_full_ft_train10_seed1,MERT full fine-tuning,mert_v1_95m,train10,0.1,seed1,mps,94376326,94376326,1.0,0.0,647.012,647.012,58.526,315.884,,False,23,114
