source_phase,experiment_id,method,method_short,model,split,true_label,pred_label,count_mean,count_std,row_rate_mean,row_rate_std,seed_count
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,二胡,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,二胡,中阮,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,二胡,笛子,1.6666666666666667,1.1547005383792515,0.014749262536873156,0.010218588835214615,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,二胡,唢呐,31.666666666666668,11.67618659209133,0.28023598820059,0.10332908488576398,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,二胡,笙,78.66666666666667,12.013880860626733,0.696165191740413,0.10631752974005959,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,琵琶,二胡,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,琵琶,琵琶,6.333333333333333,6.658328118479393,0.07450980392156863,0.0783332719821105,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,琵琶,中阮,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,琵琶,笛子,3.0,2.0,0.03529411764705882,0.023529411764705882,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,琵琶,唢呐,35.666666666666664,12.013880860626733,0.4196078431372549,0.14133977483090274,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,琵琶,笙,40.0,16.703293088490067,0.4705882352941177,0.19650933045282432,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,中阮,二胡,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,中阮,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,中阮,中阮,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,中阮,笛子,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,中阮,唢呐,14.333333333333334,5.131601439446884,0.1524822695035461,0.05459150467496685,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,中阮,笙,79.66666666666667,5.131601439446884,0.8475177304964538,0.05459150467496682,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,笛子,二胡,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,笛子,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,笛子,中阮,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,笛子,笛子,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,笛子,唢呐,92.66666666666667,1.5275252316519468,0.9858156028368795,0.01625026842182922,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,笛子,笙,1.3333333333333333,1.5275252316519468,0.014184397163120567,0.01625026842182922,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,唢呐,二胡,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,唢呐,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,唢呐,中阮,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,唢呐,笛子,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,唢呐,唢呐,44.666666666666664,0.5773502691896257,0.9925925925925926,0.012830005981991702,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,唢呐,笙,0.3333333333333333,0.5773502691896258,0.007407407407407408,0.012830005981991684,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,笙,二胡,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,笙,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,笙,中阮,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,笙,笛子,6.0,1.0,0.0335195530726257,0.005586592178770951,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,笙,唢呐,103.66666666666667,17.925772879665004,0.5791433891992551,0.1001439825679609,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,external_test,笙,笙,69.33333333333333,18.823743871327334,0.38733705772811916,0.10516058028674487,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,二胡,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,二胡,琵琶,4.666666666666667,4.509249752822894,0.14181923859343215,0.14527666067678408,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,二胡,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,二胡,笛子,12.333333333333334,6.506407098647712,0.39419742322968127,0.23566582813011736,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,二胡,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,二胡,笙,15.666666666666666,8.962886439832502,0.46398333817688653,0.20790886362238203,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,琵琶,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,琵琶,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,琵琶,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,琵琶,笛子,14.666666666666666,14.364307617610162,0.9895833333333334,0.018042195912175804,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,琵琶,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,琵琶,笙,0.3333333333333333,0.5773502691896258,0.010416666666666666,0.018042195912175808,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,中阮,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,中阮,琵琶,4.333333333333333,3.7859388972001824,0.11740793878527019,0.10594690863237727,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,中阮,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,中阮,笛子,27.666666666666668,16.502525059315417,0.6249003666507253,0.2512724213585765,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,中阮,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,中阮,笙,10.0,4.358898943540674,0.2576916945640044,0.14535082860826723,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,笛子,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,笛子,琵琶,34.333333333333336,15.631165450257807,0.6419294990723562,0.1367039787474783,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,笛子,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,笛子,笛子,5.0,4.58257569495584,0.11122448979591837,0.09778364373924599,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,笛子,唢呐,2.6666666666666665,0.5773502691896257,0.052226345083487946,0.00811728066876944,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,笛子,笙,9.666666666666666,4.041451884327381,0.19461966604823747,0.09959853462293444,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,唢呐,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,唢呐,琵琶,13.0,2.6457513110645907,0.2856963298139769,0.010092158454573051,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,唢呐,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,唢呐,笛子,17.666666666666668,1.5275252316519468,0.3963046757164404,0.06463161154303304,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,唢呐,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,唢呐,笙,15.0,6.082762530298219,0.3179989944695827,0.07283027380896136,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,笙,二胡,0.6666666666666666,0.5773502691896258,0.016298946531504672,0.01416559395952839,3
